Crop,Precipitation (mm day-1),Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Temperature at 2 Meters (C),Yield
"Oil palm fruit",2692.34,18.37,85.54,26.18,175630
"Oil palm fruit",2424.55,18.28,85.16,26.18,180320
"Oil palm fruit",2363.63,18.35,84.92,26.28,184630
"Oil palm fruit",2892.78,18.49,86.09,26.18,190630
"Oil palm fruit",2729.53,18.41,86.03,26.11,183540
"Oil palm fruit",3085.79,18.34,86.1,26.03,195520
"Oil palm fruit",2922.18,18.43,85.51,26.23,182690
"Oil palm fruit",2546.33,18.43,84.23,26.49,171190
"Oil palm fruit",2938.29,18.22,85.42,26.06,185830
"Oil palm fruit",2771.73,18.38,84.98,26.3,186960
"Oil palm fruit",2607.96,18.37,84.67,26.35,181490
"Oil palm fruit",2604.59,18.19,83.44,26.43,203400
"Oil palm fruit",2308.51,18.27,83.65,26.47,202380
"Oil palm fruit",2410.13,18.58,83.45,26.81,172600
"Oil palm fruit",2967.41,18.67,85.48,26.46,199070
"Oil palm fruit",2333.46,18.5,84.85,26.43,189660
"Oil palm fruit",2109.34,18.51,83.52,26.72,189900
"Rice, paddy",2248.92,17.72,83.4,26.01,284500
"Rice, paddy",1938.42,17.54,82.11,26.11,283950
"Rice, paddy",2301.54,17.81,82.79,26.24,287640
"Rice, paddy",2592.35,17.61,85.07,25.56,288560
"Rice, paddy",2344.72,17.61,84.12,25.76,292170
"Rice, paddy",2339.3,17.7,84.54,25.76,293080
"Rice, paddy",2326.09,18.09,84.63,26.11,297950
"Rice, paddy",2718.08,18.3,85.43,26.12,295830
"Rice, paddy",2061.61,17.8,84.36,25.88,292630
"Rice, paddy",1934.62,17.94,83.43,26.21,293760
"Rice, paddy",2217.12,18.03,84.39,26.1,299580
"Rice, paddy",2249.7,18.01,84.24,26.11,298270
"Rice, paddy",2530.96,18.15,85.33,26.02,294840
"Rice, paddy",2504.7,18.19,85.45,26.02,293170
"Rice, paddy",2686.2,18.38,85.77,26.13,291500
"Rice, paddy",2414.79,18.18,85.76,25.93,288760
"Rice, paddy",1999.53,18.2,84.36,26.27,287820
"Rice, paddy",2362.8,18.7,84.03,26.79,284780
"Rice, paddy",2792.95,18.24,86.04,25.95,283040
"Rice, paddy",2751.24,18.31,85.98,26.02,282360
"Rice, paddy",2646.28,18.4,86.02,26.1,281440
"Rice, paddy",2302.99,18.22,84.48,26.25,280060
"Rice, paddy",2692.34,18.37,85.54,26.18,279150
"Rice, paddy",2424.55,18.28,85.16,26.18,277840
"Rice, paddy",2363.63,18.35,84.92,26.28,276730
"Rice, paddy",2892.78,18.49,86.09,26.18,276490
"Rice, paddy",2729.53,18.41,86.03,26.11,276520
"Rice, paddy",3085.79,18.34,86.1,26.03,276910
"Rice, paddy",2922.18,18.43,85.51,26.23,277640
"Rice, paddy",2546.33,18.43,84.23,26.49,277820
"Rice, paddy",2938.29,18.22,85.42,26.06,277780
"Rice, paddy",2771.73,18.38,84.98,26.3,277910
"Rice, paddy",2607.96,18.37,84.67,26.35,278780
"Rice, paddy",2604.59,18.19,83.44,26.43,279870
"Rice, paddy",2308.51,18.27,83.65,26.47,280980
"Rice, paddy",2410.13,18.58,83.45,26.81,281730
"Rice, paddy",2967.41,18.67,85.48,26.46,282210
"Rice, paddy",2333.46,18.5,84.85,26.43,283360
"Rice, paddy",2109.34,18.51,83.52,26.72,284030
"Soybean",2248.92,17.72,83.4,26.01,422800
"Soybean",1938.42,17.54,82.11,26.11,421050
"Soybean",2301.54,17.81,82.79,26.24,418000
"Soybean",2592.35,17.61,85.07,25.56,412300
"Soybean",2344.72,17.61,84.12,25.76,417800
"Soybean",2339.3,17.7,84.54,25.76,415630
"Soybean",2326.09,18.09,84.63,26.11,419320
"Soybean",2718.08,18.3,85.43,26.12,416000
"Soybean",2061.61,17.8,84.36,25.88,420540
"Soybean",1934.62,17.94,83.43,26.21,422340
"Soybean",2217.12,18.03,84.39,26.1,413910
"Soybean",2249.7,18.01,84.24,26.11,417260
"Soybean",2530.96,18.15,85.33,26.02,413890
"Soybean",2504.7,18.19,85.45,26.02,411770
"Soybean",2686.2,18.38,85.77,26.13,414870
"Soybean",2414.79,18.18,85.76,25.93,416570
"Soybean",1999.53,18.2,84.36,26.27,415380
"Soybean",2362.8,18.7,84.03,26.79,417600
"Soybean",2792.95,18.24,86.04,25.95,419470
"Soybean",2751.24,18.31,85.98,26.02,417860
"Soybean",2646.28,18.4,86.02,26.1,419600
"Soybean",2302.99,18.22,84.48,26.25,420300
"Soybean",2692.34,18.37,85.54,26.18,422200
"Soybean",2424.55,18.28,85.16,26.18,421500
"Soybean",2363.63,18.35,84.92,26.28,422790
"Soybean",2892.78,18.49,86.09,26.18,423430
"Soybean",2729.53,18.41,86.03,26.11,424860
"Soybean",3085.79,18.34,86.1,26.03,425670
"Soybean",2922.18,18.43,85.51,26.23,426380
"Soybean",2546.33,18.43,84.23,26.49,425960
"Soybean",2938.29,18.22,85.42,26.06,424990
"Soybean",2771.73,18.38,84.98,26.3,424720
"Soybean",2607.96,18.37,84.67,26.35,424130
"Soybean",2604.59,18.19,83.44,26.43,423980
"Soybean",2308.51,18.27,83.65,26.47,423640
"Soybean",2410.13,18.58,83.45,26.81,423260
"Soybean",2967.41,18.67,85.48,26.46,422920
"Soybean",2333.46,18.5,84.85,26.43,422730
"Soybean",2109.34,18.51,83.52,26.72,422610
